차종코드(표준),판매지역,판매국가,원인부품(5),현상코드,현상명,사용일수,주행거리(km로 환산),특이사항,고장,원인부품숫자
(YD) K3 [A7],북미,캐나다,CRASH PAD ASSY-MAIN,Q55,소음/이음_주행중,515,35121,"[C]CUSTOMER STATES RATTLE NOISE CENTER/TOP AREA OF DASH WHEN DRIVING OVER BUMPS, GETS WORSE WHEN WARMS UP, WAS IN FOR THIS BEFORE, WE FOUND THE CLOCK IN THE DASH RATTLING AND RESECURED THAT, SEE HISTORY
[R]AFTER REINSTALLING DASH AND ROAD TESTING-THE RATTLE HAS BEEN RESOLVED  TECH RE-CHECKED THIS MORNING AND RATTLE NOISE IS RECONFIRMED AS HAVING BEEN RESOLVED.  - 84710R00@ 2.4 - 84710XTT@ 5.4
[T]CONFIRMED RATTLE NOISE - REMOVED UPPER CRASH PAD AND CLOCK, ROAD TETSED, NOISE STILL PRESENT  REMOVED CLUSTER TRIM, LOWER CRASH PAD  AND RIGHT VENT TRIM AND ROAD TESTED, NOISE STILL PRESENT  INSTALLED FOAM TAPE TO ALL ABOVE STATED TRIM, REINSTALLED ONE BY ONE, ROAD TESTING TO CONFIRM, NOISE STILL PRESENT, REMOVED DASH ASSY AND APPLIED FOAM TAPE TO SEVERAL AREAS, REINSTALLED DASH & ROAD TESTED, CONFIRMED NOISE CORRETED.
[L]Please advise why the adjustment is needed. Very difficult to narrow down cause of noise, multiple repairs involved with multiple road tests.
[C]CUSTOMER STATES RATTLE NOISE CENTER/TOP AREA OF DASH WHEN DRIVING OVER BUMPS, GETS WORSE WHEN WARMS UP, WAS IN FOR THIS BEFORE, WE FOUND THE CLOCK IN THE DASH RATTLING AND RESECURED THAT, SEE HISTORY
[R]AFTER REINSTALLING DASH AND ROAD TESTING-THE RATTLE HAS BEEN RESOLVED  TECH RE-CHECKED THIS MORNING AND RATTLE NOISE IS RECONFIRMED AS HAVING BEEN RESOLVED.  - 84710R00@ 2.4 - 84710XTT@ 5.4
[T]CONFIRMED RATTLE NOISE - REMOVED UPPER CRASH PAD AND CLOCK, ROAD TETSED, NOISE STILL PRESENT  REMOVED CLUSTER TRIM, LOWER CRASH PAD  AND RIGHT VENT TRIM AND ROAD TESTED, NOISE STILL PRESENT  INSTALLED FOAM TAPE TO ALL ABOVE STATED TRIM, REINSTALLED ONE BY ONE, ROAD TESTING TO CONFIRM, NOISE STILL PRESENT, REMOVED DASH ASSY AND APPLIED FOAM TAPE TO SEVERAL AREAS, REINSTALLED DASH & ROAD TESTED, CONFIRMED NOISE CORRETED.
[L]Please advise why the adjustment is needed. Very difficult to narrow down cause of noise, multiple repairs involved with multiple road tests.
",소음 관련,0
(YD) K3 [A7],북미,캐나다,CRASH PAD ASSY-MAIN,Q55,소음/이음_주행중,493,35865,"[C]CUSTOMER STATES THAT WHILE DRIVING AT HIGHWAY SPEEDS AND ON BUMPY ROADS THAT THERE IS A CRACKLING NOISE COMING FROM THE DASH ABOVE THE INSTURMENT CLUSTER ON THE DRIVER SIDE PLEASE INSPECT AND ADVISE
[R]INSPECTED AND VERIFIED CUSTOMER COMPLAINT -- TOOK DASH OUT AND WENT FOR A TEST DRIVE NOISE IS GONE -- SUSPECTED SOMETHING HITTING THE CLUSTER -- APPLIED FOAM TAPE UNDERNEATH THE CLUSTER AND INSTALLED IT BACK -- ALSO APPLIED FABRIC TAPE ON ALL RETAINER T
[T]REMOVED DASH TO FIND NOISSE AND FABRIC TAPE
[C]CUSTOMER STATES THAT WHILE DRIVING AT HIGHWAY SPEEDS AND ON BUMPY ROADS THAT THERE IS A CRACKLING NOISE COMING FROM THE DASH ABOVE THE INSTURMENT CLUSTER ON THE DRIVER SIDE PLEASE INSPECT AND ADVISE
[R]INSPECTED AND VERIFIED CUSTOMER COMPLAINT -- TOOK DASH OUT AND WENT FOR A TEST DRIVE NOISE IS GONE -- SUSPECTED SOMETHING HITTING THE CLUSTER -- APPLIED FOAM TAPE UNDERNEATH THE CLUSTER AND INSTALLED IT BACK -- ALSO APPLIED FABRIC TAPE ON ALL RETAINER T
[T]REMOVED DASH TO FIND NOISSE AND FABRIC TAPE
",소음 관련,0
(YD) K3 [A7],북미,캐나다,PANEL ASSY-CTR FACIA,Q55,소음/이음_주행중,161,18600,"[@]CUSTOMER STATES DASH BEZEL RATTLING WHILE DRIVING INSPECTED AND VERIFIED COMPLAINT. FOUND BEZEL WARPED AND NOT SECURING TO D ASH REPLACED BEZEL. ROADTESTED AND VERIFIED REPAIR CORRECTED COMPLAINT
[@]CUSTOMER STATES DASH BEZEL RATTLING WHILE DRIVING INSPECTED AND VERIFIED COMPLAINT. FOUND BEZEL WARPED AND NOT SECURING TO D ASH REPLACED BEZEL. ROADTESTED AND VERIFIED REPAIR CORRECTED COMPLAINT
",소음 관련,3
(YD) K3 [A7],북미,캐나다,PANEL ASSY-CTR FACIA,Q55,소음/이음_주행중,1068,62999,"[C]Customer reports a buzzing noise from center dash area when driving
[R]Replaced center dash facia trim panel & road test - noise is no longer present
[T]Confirm customer complaint after road test. Inspect & found center dash facia trim panel making noise. When applied with pressure noise disappears. Remove panel to inspect & found clip on right side not holding as securely as left
",소음 관련,3
(YD) K3 [A7],북미,캐나다,PANEL ASSY-CLUSTER F,Q52,소음/이음_공회전시,99,26,"[@]TRIM AROUND INSTRUMENT CLUSTER IS SEPERATED- PLEASE INSPECT TRIM AROUND INSTRUMENT CLUSTER IS SEPERATED- PLEASE INSPECT trim was not molded correct replace cluster trime
",소음 관련,2
(YD) K3 [A7],북미,캐나다,PANEL ASSY-CLUSTER F,Q52,소음/이음_공회전시,99,26,"[@]TRIM AROUND INSTRUMENT CLUSTER IS SEPERATED- PLEASE INSPECT TRIM AROUND INSTRUMENT CLUSTER IS SEPERATED- PLEASE INSPECT trim was not molded correct replace cluster trime
",소음 관련,2
(YD) K3 [A7],북미,캐나다,PANEL ASSY-CLUSTER F,Q55,소음/이음_주행중,598,11850,"[C]CUST COCNERN-RATTELING COMING FROM PANEL AROUND THE CLUSTER   |
| MORE->         WENTF OR A TEST DRIVE WITH DARYL 2/1/18                       |
|                CONFIRMED NOISE,
[R]REPALCED FACIA PANEL AND ROAD TEST - NOISE GONE               |
| ORIG           LOWER TRIM PANEL TO TIGHT WHEN RE-INSTALLING                  |
|                HAD SHOP FOREMAN AND SERVICE MANAGER INSPECT                  |
|                ORDERED TRIM
[T]REPLACED CLUSTER FACIA PANEL AS PART WAS LOOSE RATTLING       |
|                WHEN DRIVING
[C]CUST COCNERN-RATTELING COMING FROM PANEL AROUND THE CLUSTER   |
| MORE->         WENTF OR A TEST DRIVE WITH DARYL 2/1/18                       |
|                CONFIRMED NOISE,
[R]REPALCED FACIA PANEL AND ROAD TEST - NOISE GONE               |
| ORIG           LOWER TRIM PANEL TO TIGHT WHEN RE-INSTALLING                  |
|                HAD SHOP FOREMAN AND SERVICE MANAGER INSPECT                  |
|                ORDERED TRIM
[T]REPLACED CLUSTER FACIA PANEL AS PART WAS LOOSE RATTLING       |
|                WHEN DRIVING
",소음 관련,2
(YD) K3 [A7],북미,캐나다,PANEL ASSY-CLUSTER F,Q57,소음/이음_작동시,592,56684,"[C]AFTER COUPLING REPLACED STEERING WHEEL STILL MAKING CLICKING NOISE
[R]further from line a. replaced the steering column as per ktac to try and remove a rattle in the steering column.
[T]replaced
gear as per previous work order. the noise is still there. will talk to
service manager about changing the steering column. - AS PER KTAC BRIAN 99840- REPLACE STEERING COLUMN
[C]AFTER COUPLING REPLACED STEERING WHEEL STILL MAKING CLICKING NOISE
[R]further from line a. replaced the steering column as per ktac to try and remove a rattle in the steering column.
[T]replaced
gear as per previous work order. the noise is still there. will talk to
service manager about changing the steering column. - AS PER KTAC BRIAN 99840- REPLACE STEERING COLUMN
",소음 관련,2
(YDm) K3 [B0],북미,캐나다,ARMREST ASSY-CONSOLE,Q57,소음/이음_작동시,508,33382,"[C]Part Diag on ro 114282
[R]Replaced Armrest assembly, ok now
[T]found issue to be with Armrest assembly
",소음 관련,1
(YDm) K3 [B0],북미,캐나다,CRASH PAD ASSY-MAIN,Q53,소음/이음_요철로/둔턱,939,75669,"[C]STRUCTURE VERIFIER BRUIT DE CRAQUAGE DANS LE DASH A FROID LE FAIT BEAU COUP ET A CHAUD LE FAIT MOIN.
[R]applique foam entre bouclier et dash avec du foam.essaie r outier ok
[T]bruit provient du dash qui frotte sur bouclier entre moteu r et habitacle.
[C]STRUCTURE VERIFIER BRUIT DE CRAQUAGE DANS LE DASH A FROID LE FAIT BEAU COUP ET A CHAUD LE FAIT MOIN.
[R]applique foam entre bouclier et dash avec du foam.essaie r outier ok
[T]bruit provient du dash qui frotte sur bouclier entre moteu r et habitacle.
",소음 관련,0
(YDm) K3 [B0],북미,캐나다,CRASH PAD ASSY-MAIN,Q55,소음/이음_주행중,666,37206,"[C]Customer is hearing speedo like noise while driving 100kms hour
[R]tighten all bolts that are accessible and insulate portion closest to glass , noise is gone
[T]confirmed noise , its the dash buzzing
[C]Customer is hearing speedo like noise while driving 100kms hour
[R]tighten all bolts that are accessible and insulate portion closest to glass , noise is gone
[T]confirmed noise , its the dash buzzing
",소음 관련,0
(YDm) K3 [B0],북미,캐나다,CRASH PAD ASSY-MAIN,Q55,소음/이음_주행중,944,53984,"[C]CUST CONCERN OF DRIVERS SIDE DOOR PANEL RATTLING
[R]test drove- noise is present when going over rough roads and accelerating .resonating noise which is loudest when engine is under load at 3200-3500 rpm.
removed components in dash and cowl area test driving periodically until dashboard was completely removed. found bracket for brake pedal framework
[T]rattle from under crashpad- brake bracket to firewall.
[C]CUST CONCERN OF DRIVERS SIDE DOOR PANEL RATTLING
[R]test drove- noise is present when going over rough roads and accelerating .resonating noise which is loudest when engine is under load at 3200-3500 rpm.
removed components in dash and cowl area test driving periodically until dashboard was completely removed. found bracket for brake pedal framework vibrating against firewall. removed and insulated brake pedal bracket. retorqued nuts and bolts . re
[T]rattle from under crashpad- brake bracket to firewall.
",소음 관련,0
(YDm) K3 [B0],북미,캐나다,CRASH PAD ASSY-MAIN,Q55,소음/이음_주행중,179,4574,"[C]CUSTOMER REPORTS NOISE FROM PASS/SIDE DASH AREA..LIKE SOMETHING ROLLING AROUND..CHECK AND REPORT
[R]INSTALLED FELT TAPE AROUND ALL METAL BRACKETS ATTACHING CRASH PAD TO FIRE WALL. PERFORM ROAD TEST NOISE NOW GONE. OP 84710R00
[T]REMOVED CRASH PAD FOR INSPECTION, NOISE TRACED TO CRASH PAD BRACKET. UNDER LOAD FOUND METAL BRACKET SHAKING/VIBRATING. CAUSE#84710B0020WK
[C]CUSTOMER REPORTS NOISE FROM PASS/SIDE DASH AREA..LIKE SOMETHING ROLLING AROUND..CHECK AND REPORT
[R]INSTALLED FELT TAPE AROUND ALL METAL BRACKETS ATTACHING CRASH PAD TO FIRE WALL. PERFORM ROAD TEST NOISE NOW GONE. OP 84710R00
[T]REMOVED CRASH PAD FOR INSPECTION, NOISE TRACED TO CRASH PAD BRACKET. UNDER LOAD FOUND METAL BRACKET SHAKING/VIBRATING. CAUSE#84710B0020WK
",소음 관련,0
(YDm) K3 [B0],북미,캐나다,CRASH PAD ASSY-MAIN,Q55,소음/이음_주행중,93,6289,"[C]CUSTOMER STATES THERE IS A RATTLING NOISE FROM FRONT OF VEHICLE LIKE SOMETHING IS LOOSE, POSSIBLE INTERIOR RATTLE. PLEASE ROADTEST AND ADVISE.
[R]CONFIRMED CUSTOMERS CONCERN ROAD TEST AND INSPECT FOR RATTLING NOISE FROM INTERIOR, HEARD NOISE IS COMING FROM TOP DASH PANEL AREA, PUSH DOWN DASH NOISE IS GOING AWAY, RESECURED TOP DASH PANEL, APPLIED SILICONE SPRAY, ROAD TEST AGAIN OK. 84710R00 0.7
[T]LOOSE TRIM
[C]CUSTOMER STATES THERE IS A RATTLING NOISE FROM FRONT OF VEHICLE LIKE SOMETHING IS LOOSE, POSSIBLE INTERIOR RATTLE. PLEASE ROADTEST AND ADVISE.
[R]CONFIRMED CUSTOMERS CONCERN ROAD TEST AND INSPECT FOR RATTLING NOISE FROM INTERIOR, HEARD NOISE IS COMING FROM TOP DASH PANEL AREA, PUSH DOWN DASH NOISE IS GOING AWAY, RESECURED TOP DASH PANEL, APPLIED SILICONE SPRAY, ROAD TEST AGAIN OK. 84710R00 0.7
[T]LOOSE TRIM
",소음 관련,0
(YDm) K3 [B0],북미,캐나다,CRASH PAD ASSY-MAIN,Q55,소음/이음_주행중,185,8986,"[C]CHECK AND ADVISE ON RATTLE NOISE UNDER VEHICLE- CUSTOMER SUSPECTS FROM FRONT
[R]tightened bolt and checked all other acessable bolts, re tested and can no longer reproduce noise. road tested and could no longer reproduce noise. re installed all removed components and road tested again and verified no more noise.
[T]checked report of rattle noise under vehicle, road tested and confirmed buzzing behind dash at certian RPM but not over bumps in right cornersomething is loose behind dash causing noise. attempted to find noise by looking/feeling up underneath the dash area, unable to locate noise without pulling da
[C]CHECK AND ADVISE ON RATTLE NOISE UNDER VEHICLE- CUSTOMER SUSPECTS FROM FRONT
[R]tightened bolt and checked all other acessable bolts, re tested and can no longer reproduce noise. road tested and could no longer reproduce noise. re installed all removed components and road tested again and verified no more noise.
[T]checked report of rattle noise under vehicle, road tested and confirmed buzzing behind dash at certian RPM but not over bumps in right cornersomething is loose behind dash causing noise. attempted to find noise by looking/feeling up underneath the dash area, unable to locate noise without pulling dash at this time. attempted to remove glove box to find noise and was unable to get to the area.remov
",소음 관련,0
(YDm) K3 [B0],북미,캐나다,PANEL ASSY-CTR FACIA,Q55,소음/이음_주행중,525,58412,"[C]CUSTOMER STATES THERE IS A RATTLING NOISE COMING FROM THE DASH -- PLEASE INSPECT
[R]Confirmed customer complaint of there being a rattle coming from the dash. Confirmed with the shop foreman. Added foam tape to where the 'A' pillar trim panel contacts the dash and the noise appears to be gone for now. Confirmed the repair with a road t
[T]REMOVE AND ADD TAPE TO PILLAR TO REMOVE SOUND REPLACED PILLAR
[C]CUSTOMER STATES THERE IS A RATTLING NOISE COMING FROM THE DASH -- PLEASE INSPECT
[R]Confirmed customer complaint of there being a rattle coming from the dash. Confirmed with the shop foreman. Added foam tape to where the 'A' pillar trim panel contacts the dash and the noise appears to be gone for now. Confirmed the repair with a road t
[T]REMOVE AND ADD TAPE TO PILLAR TO REMOVE SOUND REPLACED PILLAR
",소음 관련,3
(DH) GENESIS [B1],북미,캐나다,BAR ASSY-COWL CROSS,Q55,소음/이음_주행중,106,3518,"[C]Customer states odd noises and creaks while driving.
[R]Please see attached ro for tech story and punches.
[T]Please see attached ro for tech story and punches.
[L]Please see attached ro for tech story and punches.
This is the Genesis that was in the day you were here for the dealer visit.  At that point we had 1.8 hours in and you told Dave to go ahead with the diag.
[D]Assistance with HTT
[C]Customer states odd noises and creaks while driving.
[R]Please see attached ro for tech story and punches.
[T]Please see attached ro for tech story and punches.
[L]Please see attached ro for tech story and punches.
This is the Genesis that was in the day you were here for the dealer visit.  At that point we had 1.8 hours in and you told Dave to go ahead with the diag.
[D]Assistance with HTT
",소음 관련,5
(DH) GENESIS [B1],북미,캐나다,HOUSING ASSY-GL/BOX,Q55,소음/이음_주행중,430,31754,"[C]Report when driving there is a constant rattling noise coming from the glove box area.
[R]Replaced new glove box and tested afterwards ok now-no further noises heard.
[T]Confirmed complaint and found rattling noise is coming from glove box internal lock support loose due to premature wear causing loose locking mechanism.
[C]Report when driving there is a constant rattling noise coming from the glove box area.
[R]Replaced new glove box and tested afterwards ok now-no further noises heard.
[T]Confirmed complaint and found rattling noise is coming from glove box internal lock support loose due to premature wear causing loose locking mechanism.
",소음 관련,4
(DH) GENESIS [B1],북미,캐나다,ARMREST ASSY-CONSOLE,Q51,소음/이음_가/감속시,50,90,"[C]report dent/flaw in material on the center console lid
[R]replaced defective center console cover
[T]tech confirmed defect - flaw
[C]report dent/flaw in material on the center console lid
[R]replaced defective center console cover
[T]tech confirmed defect - flaw
",소음 관련,1
(DH) GENESIS [B1],북미,캐나다,ARMREST ASSY-CONSOLE,Q54,소음/이음_정차시,381,13651,"[C]GUEST REPORTS CENTRAL ARM REST LEATHER IS PEELING
[R]REPLACE ARM REST
[T]CONFIRMED COMPLAIN. NEED TO REPLACE ARM REST
[C]GUEST REPORTS CENTRAL ARM REST LEATHER IS PEELING
[R]REPLACE ARM REST
[T]CONFIRMED COMPLAIN. NEED TO REPLACE ARM REST
",소음 관련,1
(DH) GENESIS [B1],북미,캐나다,ARMREST ASSY-CONSOLE,Q55,소음/이음_주행중,1558,79119,"[C]CUSTOMER CONCERNED THERE IS A SQUEAKING NOISE FROM CENTER CONSOLE ( ESPECIALLY WHEN LEANING ON IT)
[R]REMOVED AND REPLACED ARMREST/ CENTER CONSOLE ASSEMBLY AND ROAD TESTED VEHICLE. NO FURTHER SQUEAKING NOISE. VEHICLE NOW COMPLIES TO MANUFACTURES SPEC.
[T]INSPECTED AND ROAD TESTED VEHICLE. VERIFIED CUSTOMER CONCERN. THE DRIVER SIDE OF THE CENTER CONSOLE SQUEAKS/ CREAKS WHEN HIS ARM IS ON IT WHEN DRIVING. TRACED ISSUE TO FAULTY/INTERNAL FAILURE OF CENTER CONSOLE TOP (HINGE CREAKING)
[L]53043
",소음 관련,1
(DH) GENESIS [B1],북미,캐나다,ARMREST ASSY-CONSOLE,Q57,소음/이음_작동시,1285,75283,"[C]CONSOLE ARMREST MATERIAL WORN.
[R]REPLACE CENTRE CONSOLE ASSEMBLY.
[T]FOUND MATERIAL ON CENTRE CONSOLE MATERIAL FADED / WORN.
[L]PICTURE ATTACHED.
[C]CONSOLE ARMREST MATERIAL WORN.
[R]REPLACE CENTRE CONSOLE ASSEMBLY.
[T]FOUND MATERIAL ON CENTRE CONSOLE MATERIAL FADED / WORN.
[L]PICTURE ATTACHED.
",소음 관련,1
(DH) GENESIS [B1],북미,캐나다,CRASH PAD ASSY-MAIN,Q53,소음/이음_요철로/둔턱,349,11728,"[C]Report squeaking noise from the dash area when driving over rougher roads
[R]Removed centre console and applied foam tape-test drove again no more noise heard
[T]Confirmed complaint and found noise coming from centre console area
[C]Report squeaking noise from the dash area when driving over rougher roads
[R]Removed centre console and applied foam tape-test drove again no more noise heard
[T]Confirmed complaint and found noise coming from centre console area
",소음 관련,0
(DH) GENESIS [B1],북미,캐나다,PANEL ASSY-CTR FACIA,Q55,소음/이음_주행중,701,34013,"[C]THERE IS A RATTLING NOISE COMING FROM DASH
[R]REPLACED DEFECTIVE COMPONENT
[T]UPON INSPECTION, FOUND FRONT CENTRE CRASH PAD
FASCIA TRIM PIECE METALLIC FACING IS LOOSE (BONDING TO
PLASTIC TRIM IS FAULTY). TRIM PIECE CANNOT BE REPAIRED.
REPLACED FRONT CENTRE CRASH PAD FASCIA DUE TO FAULTY BONDING
CAUSED BY MANUFACTURERS DEFECT
[C]THERE IS A RATTLING NOISE COMING FROM DASH
[R]REPLACED DEFECTIVE COMPONENT
[T]UPON INSPECTION, FOUND FRONT CENTRE CRASH PAD
FASCIA TRIM PIECE METALLIC FACING IS LOOSE (BONDING TO
PLASTIC TRIM IS FAULTY). TRIM PIECE CANNOT BE REPAIRED.
REPLACED FRONT CENTRE CRASH PAD FASCIA DUE TO FAULTY BONDING
CAUSED BY MANUFACTURERS DEFECT
",소음 관련,3
(LFa) LF SONATA [C2],북미,캐나다,BAR ASSY-COWL CROSS,Q55,소음/이음_주행중,253,15699,"[C]RATTLE IN DASH SEEMS TO BE FROM CENTER OF DASH
[R]HAD TO TAKE DASH APART AND R&R CROSS BAR AND TIGHTEN ALL SCREWS AND BOLTS AND PUT FOAM TAPE ON EVERY BRAKETS
[T]INSPECT AND FOUND RATTLE MIDDLE OF DASH
[D]See message
[C]RATTLE IN DASH SEEMS TO BE FROM CENTER OF DASH
[R]HAD TO TAKE DASH APART AND R&R CROSS BAR AND TIGHTEN ALL SCREWS AND BOLTS AND PUT FOAM TAPE ON EVERY BRAKETS
[T]INSPECT AND FOUND RATTLE MIDDLE OF DASH
[D]See message
",소음 관련,5
(LFa) LF SONATA [C2],북미,캐나다,HOUSING ASSY-GL/BOX,Q55,소음/이음_주행중,374,10809,"[C]C/S THAT THERE IS A RATTLING NOISE COMING FROM THE PASSENGERS
SIDE OF THE DASH AREA.
[R]REPLACED GLOVE BOX
[T]REPLACED GLOVE BOX
[C]C/S THAT THERE IS A RATTLING NOISE COMING FROM THE PASSENGERS
SIDE OF THE DASH AREA.
[R]REPLACED GLOVE BOX
[T]REPLACED GLOVE BOX
",소음 관련,4
(LFa) LF SONATA [C2],북미,캐나다,HOUSING ASSY-GL/BOX,Q55,소음/이음_주행중,559,59369,"[C]RATTLE FROM RIGHT FRONT AREA - SOUNDS LIKE WINDSHIELD AREA
[R]APPLIED FOAM STRIP TO GLOVE BOX PERIMETER
[T]ROAD TEST AND FOUND RATTLE WAS COMING FROM GLOVE BOX
",소음 관련,4
(LFa) LF SONATA [C2],북미,캐나다,ARMREST ASSY-CONSOLE,Q55,소음/이음_주행중,314,29721,"[C]customer states the rear center console is very loose and noisy

[R]removed and replaced ok now
[T]confirmed complaint and found that the hinge is very loose and making a squeaking noise, will need to be replaced to correct
",소음 관련,1
(LFa) LF SONATA [C2],북미,캐나다,CRASH PAD ASSY-MAIN,Q55,소음/이음_주행중,73,8025,"[C]RATTLE IN BLOWER MOTOR AREA
[R]REPAIRED LOOSE TRIM PANEL UNDER BLOWER MOTOR
[T]LOOSE TRIM PANEL
[C]RATTLE IN BLOWER MOTOR AREA
[R]REPAIRED LOOSE TRIM PANEL UNDER BLOWER MOTOR
[T]LOOSE TRIM PANEL
",소음 관련,0
